customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,TechSupport,StreamingTV,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00000,Male,0,No,No,27,Yes,No,Fiber optic,No,No internet service,No,Month-to-month,Yes,Electronic check,86.27,2303.51,Yes
CUST-00001,Female,0,No,No,21,Yes,No,Fiber optic,No,No,Yes,Two year,Yes,Credit card,25.92,518.09,Yes
CUST-00002,Male,0,No,Yes,15,Yes,Yes,Fiber optic,Yes,No,No internet service,Month-to-month,No,Credit card,101.3,1471.13,Yes
CUST-00003,Male,1,Yes,No,12,Yes,Yes,DSL,Yes,No internet service,No internet service,Month-to-month,No,Electronic check,90.04,1102.01,Yes
CUST-00004,Male,0,Yes,No,61,Yes,No,No,No internet service,No,No internet service,Month-to-month,No,Credit card,44.63,2770.14,Yes
CUST-00005,Female,0,Yes,No,42,Yes,No,DSL,No,No internet service,No internet service,One year,Yes,Electronic check,57.96,2412.96,Yes
CUST-00006,Male,1,Yes,Yes,31,Yes,No,Fiber optic,No internet service,No,No internet service,Month-to-month,No,Mailed check,81.25,,Yes
CUST-00007,Male,0,No,No,66,Yes,No phone service,No,No,No internet service,No,Two year,Yes,Mailed check,114.54,7601.47,No
CUST-00008,Male,1,No,No,56,Yes,No phone service,Fiber optic,No,No,No,One year,Yes,Bank transfer,82.18,4572.7,No
CUST-00009,Female,1,No,No,64,Yes,Yes,No,Yes,No internet service,Yes,Month-to-month,No,Electronic check,43.81,2754.56,No
CUST-00010,Male,0,No,No,68,Yes,Yes,Fiber optic,Yes,No,No,One year,Yes,Bank transfer,67.21,4542.69,No
CUST-00011,Male,1,Yes,No,48,Yes,Yes,DSL,No,No,No,Month-to-month,No,Credit card,63.86,3025.68,No
CUST-00012,Male,0,No,No,32,Yes,No,Fiber optic,No,No,No internet service,Month-to-month,Yes,Mailed check,72.33,2337.16,Yes
CUST-00013,Male,0,Yes,No,18,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.94,1227.08,No
CUST-00014,Female,0,No,No,35,Yes,No,No,No,No,No internet service,Two year,Yes,Bank transfer,55.13,1923.69,No
CUST-00015,Male,1,No,Yes,69,Yes,Yes,Fiber optic,No,No internet service,No,Month-to-month,Yes,Credit card,106.93,7377.37,Yes
CUST-00016,Female,0,No,Yes,14,Yes,No,DSL,No internet service,No,Yes,One year,Yes,Credit card,51.67,751.8,No
CUST-00017,Female,0,Yes,Yes,23,Yes,No,DSL,Yes,No internet service,Yes,Two year,Yes,Electronic check,72.06,1659.62,No
CUST-00018,Female,0,Yes,Yes,26,Yes,No phone service,Fiber optic,Yes,No,No internet service,One year,No,Credit card,44.61,1122.33,Yes
CUST-00019,Male,0,No,Yes,48,Yes,No,Fiber optic,No internet service,Yes,No,Month-to-month,Yes,Bank transfer,62.35,2985.45,Yes
CUST-00020,Female,0,No,Yes,22,Yes,No,Fiber optic,No,Yes,Yes,One year,No,Electronic check,87.5,1968.46,Yes
CUST-00021,Male,0,No,Yes,32,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer,95.3,3023.28,No
CUST-00022,Female,0,Yes,No,40,Yes,No,Fiber optic,Yes,Yes,Yes,One year,Yes,Electronic check,100.23,3989.15,Yes
CUST-00023,Female,0,Yes,Yes,55,Yes,Yes,DSL,No internet service,No,No internet service,Month-to-month,Yes,Bank transfer,93.16,5161.13,Yes
CUST-00024,Female,0,Yes,No,28,Yes,No,Fiber optic,No,No,Yes,Month-to-month,Yes,Credit card,65.61,1865.68,No
CUST-00025,Female,0,No,Yes,30,No,Yes,No,No,No,Yes,One year,Yes,Mailed check,21.82,634.15,No
CUST-00026,Female,0,Yes,No,64,No,Yes,Fiber optic,No internet service,No,No,Month-to-month,No,Credit card,71.5,4596.84,No
CUST-00027,Female,1,No,No,17,No,Yes,DSL,No,No,No internet service,Month-to-month,Yes,Credit card,23.63,360.22,Yes
CUST-00028,Female,0,Yes,No,5,Yes,Yes,DSL,No,Yes,No internet service,Two year,Yes,Bank transfer,116.58,587.2,No
CUST-00029,Female,1,No,No,51,Yes,Yes,No,No,Yes,Yes,Two year,No,Bank transfer,56.55,2921.15,No
CUST-00030,Male,0,No,Yes,39,Yes,No phone service,DSL,No,No,No internet service,One year,Yes,Mailed check,69.37,2739.68,Yes
CUST-00031,Male,0,Yes,No,64,Yes,Yes,Fiber optic,No,Yes,No,Two year,No,Mailed check,31.21,1967.72,No
CUST-00032,Female,0,No,No,41,Yes,No,Fiber optic,No,No,Yes,Two year,No,Bank transfer,119.56,4905.28,No
CUST-00033,Female,0,No,No,67,Yes,Yes,DSL,Yes,Yes,No,Two year,Yes,Credit card,68.2,4559.25,No
CUST-00034,Female,0,No,No,31,Yes,No,Fiber optic,No internet service,No,No internet service,Month-to-month,No,Electronic check,48.43,1507.42,Yes
CUST-00035,Male,0,Yes,No,9,Yes,Yes,DSL,No,No,No,Month-to-month,Yes,Mailed check,37.69,296.72,No
CUST-00036,Female,0,No,No,68,Yes,Yes,Fiber optic,Yes,No,No internet service,Month-to-month,No,Credit card,84.29,5779.86,Yes
CUST-00037,Male,0,Yes,Yes,8,Yes,Yes,DSL,No,Yes,No,Two year,Yes,Electronic check,62.5,506.35,No
CUST-00038,Male,0,Yes,No,68,Yes,No,Fiber optic,No internet service,Yes,No,Two year,Yes,Credit card,50.37,3387.09,Yes
CUST-00039,Male,0,No,Yes,60,No,Yes,No,No,No,Yes,One year,No,Mailed check,18.98,1153.03,No
CUST-00040,Male,0,Yes,No,10,No,No phone service,DSL,Yes,No internet service,No internet service,Month-to-month,No,Bank transfer,21.71,167.87,Yes
CUST-00041,Male,0,No,Yes,67,Yes,No,No,Yes,Yes,No,Month-to-month,No,Bank transfer,88.75,5896.9,Yes
CUST-00042,Female,1,Yes,Yes,7,Yes,No,DSL,Yes,Yes,No,Month-to-month,Yes,Mailed check,67.02,437.05,Yes
CUST-00043,Female,0,No,No,48,Yes,No phone service,Fiber optic,Yes,Yes,No,One year,No,Bank transfer,104.59,4997.41,Yes
CUST-00044,Female,0,Yes,No,23,Yes,No,Fiber optic,No internet service,No,No,Two year,No,Electronic check,94.86,2158.1,Yes
CUST-00045,Female,0,No,No,32,Yes,No phone service,Fiber optic,Yes,No internet service,No,Month-to-month,No,Credit card,76.49,2442.0,Yes
CUST-00046,Female,0,No,Yes,18,Yes,Yes,DSL,No internet service,Yes,No,One year,No,Bank transfer,75.22,1355.28,No
CUST-00047,Male,0,No,Yes,1,Yes,No,DSL,Yes,No,No,Two year,No,Bank transfer,94.03,86.25,No
CUST-00048,Female,0,No,No,54,Yes,Yes,Fiber optic,No internet service,No,Yes,Month-to-month,No,Bank transfer,93.6,5041.79,Yes
CUST-00049,Female,0,Yes,No,10,No,No,DSL,Yes,No internet service,No,Two year,Yes,Mailed check,52.12,538.21,No
CUST-00050,Male,0,Yes,No,16,Yes,No,No,No,No,No,One year,Yes,Mailed check,28.74,434.67,No
CUST-00051,Female,0,No,No,41,Yes,No phone service,DSL,Yes,Yes,No,One year,Yes,Bank transfer,96.73,3978.71,Yes
CUST-00052,Male,0,Yes,No,60,Yes,No phone service,Fiber optic,No,No,No,One year,Yes,Mailed check,40.76,2491.27,No
CUST-00053,Female,1,No,No,2,Yes,Yes,Fiber optic,Yes,No internet service,Yes,Month-to-month,No,Credit card,98.71,194.6,Yes
CUST-00054,Male,0,No,No,34,Yes,Yes,Fiber optic,No,No internet service,Yes,One year,No,Electronic check,81.05,2756.82,Yes
CUST-00055,Female,1,Yes,No,65,Yes,No,No,No,No,No,Month-to-month,No,Credit card,54.51,3565.98,No
CUST-00056,Female,0,Yes,No,0,Yes,No,Fiber optic,No internet service,Yes,No,Month-to-month,Yes,Credit card,104.93,0.74,No
CUST-00057,Male,0,No,No,6,Yes,Yes,DSL,Yes,No,Yes,One year,No,Electronic check,88.5,495.39,Yes
CUST-00058,Male,0,Yes,No,19,Yes,No,Fiber optic,Yes,No internet service,No,Month-to-month,No,Electronic check,73.6,1409.47,Yes
CUST-00059,Male,0,No,No,42,Yes,No,DSL,Yes,No,Yes,One year,Yes,Credit card,48.69,2045.86,No
CUST-00060,Male,0,Yes,Yes,5,Yes,No,Fiber optic,No,No,Yes,Month-to-month,No,Electronic check,118.6,638.15,Yes
CUST-00061,Male,0,Yes,Yes,54,Yes,Yes,No,Yes,Yes,Yes,One year,No,Credit card,103.53,5549.92,No
CUST-00062,Male,0,Yes,No,20,Yes,No,DSL,Yes,Yes,Yes,Two year,No,Bank transfer,31.93,642.25,No
CUST-00063,Male,0,Yes,Yes,50,Yes,No,Fiber optic,No,No,Yes,Month-to-month,Yes,Mailed check,100.24,5023.69,Yes
CUST-00064,Male,0,Yes,Yes,45,Yes,No phone service,DSL,Yes,No,No,Month-to-month,Yes,Electronic check,30.26,1373.69,Yes
CUST-00065,Female,0,No,No,34,No,No,No,No,No,No,Month-to-month,No,Bank transfer,43.27,1427.15,No
CUST-00066,Female,0,Yes,No,7,Yes,Yes,Fiber optic,Yes,No,No,One year,Yes,Electronic check,115.67,792.47,No
CUST-00067,Male,0,Yes,No,67,Yes,No,DSL,No,Yes,No,Two year,Yes,Mailed check,106.73,7127.16,No
CUST-00068,Female,0,No,No,15,Yes,Yes,Fiber optic,No internet service,No internet service,Yes,Month-to-month,Yes,Mailed check,79.81,1215.15,Yes
CUST-00069,Female,1,No,No,66,Yes,No phone service,Fiber optic,Yes,Yes,No,Two year,Yes,Mailed check,89.31,5918.0,No
CUST-00070,Female,0,No,No,70,Yes,No,Fiber optic,Yes,No,No,Month-to-month,Yes,Electronic check,27.14,1870.73,Yes
CUST-00071,Female,1,Yes,No,63,Yes,No phone service,DSL,No internet service,No,No internet service,One year,No,Credit card,51.9,3302.31,No
CUST-00072,Male,0,Yes,No,1,Yes,Yes,Fiber optic,No,Yes,No internet service,Month-to-month,No,Electronic check,50.89,49.39,No
CUST-00073,Female,0,No,No,0,Yes,No,Fiber optic,No,No internet service,No internet service,Month-to-month,Yes,Electronic check,21.33,0.0,Yes
CUST-00074,Male,0,No,No,57,Yes,No,DSL,No,No,No,Month-to-month,No,Bank transfer,89.82,5099.72,Yes
CUST-00075,Female,0,No,Yes,0,Yes,No,DSL,No,Yes,No internet service,Month-to-month,No,Bank transfer,49.37,0.0,No
CUST-00076,Female,1,No,Yes,6,Yes,Yes,No,No internet service,Yes,Yes,Two year,No,Credit card,82.58,505.92,No
CUST-00077,Female,0,Yes,No,68,Yes,Yes,DSL,No,No internet service,No,Month-to-month,Yes,Mailed check,20.78,1415.75,No
CUST-00078,Male,0,Yes,Yes,17,Yes,No,Fiber optic,No,No,No,Month-to-month,No,Mailed check,18.17,352.76,Yes
CUST-00079,Female,0,Yes,No,31,No,No,Fiber optic,No internet service,No,Yes,Two year,Yes,Electronic check,35.34,1072.91,Yes
CUST-00080,Male,0,Yes,No,44,Yes,No,DSL,No,Yes,Yes,Month-to-month,Yes,Mailed check,89.69,3928.28,Yes
CUST-00081,Female,1,Yes,No,32,Yes,Yes,Fiber optic,No,No internet service,No,Month-to-month,No,Credit card,79.63,2498.81,Yes
CUST-00082,Male,0,No,No,72,Yes,No,Fiber optic,No internet service,Yes,Yes,One year,No,Mailed check,38.49,2751.11,No
CUST-00083,Female,0,Yes,No,48,Yes,No,Fiber optic,Yes,No,Yes,Month-to-month,Yes,Bank transfer,71.38,3401.33,Yes
CUST-00084,Male,0,No,Yes,32,Yes,Yes,Fiber optic,Yes,No,Yes,Two year,No,Mailed check,81.16,2587.32,No
CUST-00085,Male,0,No,No,70,Yes,Yes,No,Yes,No internet service,No,Month-to-month,Yes,Electronic check,113.77,7963.46,No
CUST-00086,Female,0,No,No,67,No,No,Fiber optic,No internet service,No,Yes,Two year,Yes,Bank transfer,95.77,6433.62,No
CUST-00087,Male,0,Yes,No,27,Yes,No,DSL,No,No,No,Month-to-month,Yes,Credit card,31.86,829.41,Yes
CUST-00088,Female,0,No,No,52,Yes,No,DSL,No,No,No internet service,Month-to-month,No,Electronic check,45.56,2374.76,Yes
CUST-00089,Female,0,Yes,Yes,43,Yes,No,DSL,Yes,No,No,One year,Yes,Electronic check,59.16,2566.74,No
CUST-00090,Female,0,No,Yes,54,Yes,Yes,No,Yes,No internet service,Yes,Month-to-month,Yes,Bank transfer,28.74,1526.08,No
CUST-00091,Female,0,Yes,Yes,9,No,No phone service,No,Yes,No internet service,Yes,Month-to-month,Yes,Electronic check,74.65,656.97,Yes
CUST-00092,Female,0,No,No,13,Yes,No phone service,DSL,No internet service,Yes,No,Two year,Yes,Mailed check,110.52,1407.27,No
CUST-00093,Female,0,Yes,No,35,Yes,Yes,Fiber optic,No,No,No internet service,Month-to-month,Yes,Mailed check,49.25,1684.85,Yes
CUST-00094,Female,0,No,No,33,Yes,No,DSL,No internet service,No internet service,Yes,Month-to-month,No,Bank transfer,118.43,3933.81,Yes
CUST-00095,Female,0,No,No,17,Yes,No,No,No,No,No,One year,Yes,Mailed check,43.43,712.32,No
CUST-00096,Female,0,No,No,15,Yes,No,DSL,No,No,No,Month-to-month,No,Electronic check,66.17,979.31,Yes
CUST-00097,Female,0,No,No,36,Yes,No,Fiber optic,No,Yes,No internet service,Month-to-month,Yes,Bank transfer,52.99,1882.41,No
CUST-00098,Female,0,Yes,Yes,40,Yes,No,DSL,No internet service,Yes,Yes,Month-to-month,Yes,Bank transfer,49.43,1931.58,No
CUST-00099,Male,0,Yes,Yes,24,Yes,No phone service,DSL,No internet service,Yes,No,Month-to-month,No,Credit card,56.54,1379.86,No
CUST-00100,Male,0,Yes,No,7,Yes,No,DSL,No internet service,No,No,Month-to-month,No,Electronic check,21.31,163.5,Yes
CUST-00101,Female,0,No,No,17,No,Yes,Fiber optic,No,No internet service,Yes,Two year,Yes,Electronic check,72.27,1226.2,No
CUST-00102,Female,0,No,No,67,Yes,No,Fiber optic,Yes,No internet service,Yes,One year,No,Credit card,93.62,6289.97,Yes
CUST-00103,Female,0,No,No,47,Yes,Yes,DSL,No,Yes,Yes,Two year,No,Credit card,106.11,5021.82,No
CUST-00104,Female,0,No,No,69,Yes,No,DSL,Yes,No,No,Two year,Yes,Electronic check,51.08,3536.37,No
CUST-00105,Female,0,No,Yes,66,Yes,No,Fiber optic,Yes,No internet service,No,Month-to-month,Yes,Credit card,74.14,4933.92,No
CUST-00106,Female,0,No,Yes,17,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer,109.07,1824.34,No
CUST-00107,Female,0,Yes,No,17,Yes,Yes,Fiber optic,No,No,Yes,Month-to-month,Yes,Bank transfer,99.59,1731.37,Yes
CUST-00108,Female,0,Yes,No,55,No,No,Fiber optic,No,No,Yes,Two year,No,Electronic check,65.34,3597.85,No
CUST-00109,Male,0,Yes,Yes,22,Yes,Yes,Fiber optic,No,No,Yes,One year,No,Bank transfer,34.81,799.98,No
CUST-00110,Female,0,Yes,Yes,34,Yes,Yes,Fiber optic,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.95,2572.68,Yes
CUST-00111,Male,0,Yes,Yes,5,Yes,No,Fiber optic,Yes,No,Yes,Two year,No,Credit card,118.95,550.51,Yes
CUST-00112,Female,0,Yes,No,25,No,No phone service,DSL,No,No,Yes,One year,No,Mailed check,95.27,2415.53,No
CUST-00113,Female,0,Yes,No,60,Yes,No,Fiber optic,No,No,No,One year,No,Bank transfer,104.5,6253.73,Yes
CUST-00114,Male,0,Yes,Yes,14,Yes,No,DSL,Yes,No,No,Month-to-month,Yes,Bank transfer,37.25,513.81,Yes
CUST-00115,Female,0,No,Yes,31,Yes,No,DSL,No internet service,No internet service,Yes,Month-to-month,No,Credit card,110.2,3367.31,Yes
CUST-00116,Male,0,No,Yes,11,Yes,Yes,DSL,No,Yes,Yes,One year,No,Bank transfer,19.44,239.71,No
CUST-00117,Female,0,No,No,4,Yes,No,DSL,No,No,No internet service,One year,No,Electronic check,105.95,420.5,No
CUST-00118,Female,1,No,Yes,63,Yes,No,DSL,No,No,Yes,One year,Yes,Bank transfer,42.39,2714.53,Yes
CUST-00119,Male,0,No,No,70,Yes,No phone service,Fiber optic,No,No,Yes,Two year,Yes,Credit card,81.52,5684.5,No
CUST-00120,Female,0,No,Yes,26,Yes,No phone service,Fiber optic,Yes,No internet service,Yes,Month-to-month,Yes,Electronic check,47.89,1244.75,Yes
CUST-00121,Male,1,No,Yes,44,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer,31.8,1390.31,Yes
CUST-00122,Female,0,Yes,No,34,Yes,No phone service,DSL,No,No,Yes,One year,Yes,Bank transfer,43.2,1498.01,No
CUST-00123,Male,1,Yes,No,25,Yes,No phone service,DSL,Yes,No,No internet service,Month-to-month,Yes,Bank transfer,66.24,1659.56,Yes
CUST-00124,Male,0,No,Yes,22,Yes,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer,111.81,2455.81,No
CUST-00125,Female,1,Yes,No,12,Yes,Yes,Fiber optic,No,No,Yes,Two year,No,Mailed check,57.68,736.84,No
CUST-00126,Female,0,Yes,No,2,Yes,No,No,Yes,No,No,One year,Yes,Mailed check,23.7,35.19,Yes
CUST-00127,Male,0,Yes,No,28,No,Yes,Fiber optic,No internet service,No,Yes,One year,Yes,Credit card,20.42,570.76,Yes
CUST-00128,Female,0,Yes,No,65,Yes,No,Fiber optic,No,Yes,No,Month-to-month,No,Mailed check,39.41,2567.06,Yes
CUST-00129,Female,0,Yes,No,63,Yes,Yes,DSL,Yes,No internet service,No,Month-to-month,Yes,Credit card,23.31,1423.92,Yes
CUST-00130,Female,0,No,No,27,Yes,No,No,No,No internet service,Yes,Two year,Yes,Electronic check,55.86,1510.87,No
CUST-00131,Male,0,Yes,Yes,35,Yes,No phone service,DSL,No,Yes,No internet service,One year,Yes,Mailed check,57.19,1985.23,Yes
CUST-00132,Male,0,No,No,5,Yes,Yes,DSL,Yes,No,No,Two year,No,Electronic check,117.16,600.82,No
CUST-00133,Male,0,No,No,10,Yes,No,Fiber optic,No internet service,No internet service,Yes,Month-to-month,No,Mailed check,49.24,506.76,Yes
CUST-00134,Male,0,No,Yes,37,Yes,Yes,Fiber optic,No internet service,No,No,Month-to-month,Yes,Credit card,79.09,2947.46,Yes
CUST-00135,Male,0,Yes,Yes,33,Yes,No,No,No internet service,No internet service,Yes,Month-to-month,Yes,Electronic check,101.52,3340.08,Yes
CUST-00136,Male,1,No,Yes,66,Yes,No,DSL,No,Yes,No,Month-to-month,Yes,Bank transfer,70.33,4602.26,No
CUST-00137,Male,0,No,No,45,Yes,Yes,Fiber optic,No internet service,Yes,No,One year,No,Bank transfer,89.05,4001.17,Yes
CUST-00138,Male,1,No,No,28,No,No,Fiber optic,No internet service,No,No internet service,Month-to-month,No,Mailed check,117.39,3292.14,Yes
CUST-00139,Male,0,No,No,59,Yes,No,DSL,No internet service,No internet service,No,Month-to-month,Yes,Electronic check,51.06,2965.03,No
CUST-00140,Female,0,Yes,Yes,53,Yes,Yes,Fiber optic,No internet service,No internet service,No internet service,Month-to-month,No,Credit card,25.57,1359.95,No
CUST-00141,Male,0,No,No,68,No,No,Fiber optic,No,No internet service,Yes,Month-to-month,No,Credit card,61.89,4198.45,Yes
CUST-00142,Female,0,No,No,8,Yes,No,Fiber optic,Yes,No,Yes,Two year,Yes,Bank transfer,73.14,582.97,No
CUST-00143,Female,0,No,No,9,Yes,Yes,No,No,No,No internet service,Month-to-month,Yes,Bank transfer,77.16,674.77,Yes
CUST-00144,Female,0,No,No,67,Yes,No phone service,Fiber optic,No,No,Yes,Month-to-month,Yes,Mailed check,93.33,6252.32,No
CUST-00145,Male,0,Yes,No,57,Yes,No,No,No internet service,No,No internet service,One year,Yes,Credit card,109.6,6285.38,No
CUST-00146,Male,1,No,No,51,Yes,Yes,Fiber optic,No,No internet service,Yes,One year,No,Electronic check,69.02,3548.8,Yes
CUST-00147,Male,0,No,No,33,Yes,Yes,Fiber optic,No internet service,Yes,Yes,Month-to-month,Yes,Bank transfer,32.63,1088.39,Yes
CUST-00148,Male,0,No,No,34,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,59.15,2023.76,Yes
CUST-00149,Female,0,No,No,32,Yes,No,DSL,Yes,No,No,Two year,Yes,Credit card,33.85,1122.74,No
CUST-00150,Male,0,No,No,71,Yes,No,No,Yes,Yes,No internet service,Two year,No,Electronic check,36.59,2595.86,Yes
CUST-00151,Male,0,No,Yes,31,Yes,No,Fiber optic,No,Yes,No internet service,One year,Yes,Credit card,18.17,567.2,No
CUST-00152,Male,0,Yes,Yes,54,Yes,No,No,No internet service,No,No,Month-to-month,No,Credit card,112.83,6128.84,No
CUST-00153,Male,0,No,Yes,7,Yes,No,Fiber optic,No internet service,Yes,No,Month-to-month,No,Electronic check,94.02,683.61,Yes
CUST-00154,Male,0,Yes,No,45,Yes,No,No,No,No internet service,No,Month-to-month,Yes,Electronic check,28.23,1263.66,Yes
CUST-00155,Female,0,Yes,No,13,Yes,No phone service,No,No internet service,No,No,Month-to-month,Yes,Electronic check,111.85,1434.58,Yes
CUST-00156,Male,0,No,Yes,7,Yes,No phone service,Fiber optic,Yes,No,No internet service,Month-to-month,Yes,Credit card,106.78,749.24,Yes
CUST-00157,Female,1,Yes,Yes,70,Yes,Yes,Fiber optic,No,Yes,Yes,Two year,Yes,Mailed check,110.81,7718.76,No
CUST-00158,Male,0,No,No,53,Yes,No,No,Yes,No,Yes,Two year,Yes,Credit card,27.93,1498.33,No
CUST-00159,Female,0,Yes,No,20,Yes,Yes,DSL,Yes,No,No,Two year,Yes,Credit card,26.15,519.44,No
CUST-00160,Male,0,No,No,13,Yes,Yes,DSL,No internet service,Yes,Yes,One year,No,Mailed check,24.91,333.33,No
CUST-00161,Male,1,Yes,No,1,Yes,No,Fiber optic,No internet service,No,Yes,One year,Yes,Bank transfer,116.63,151.25,Yes
CUST-00162,Female,0,Yes,No,60,Yes,No,Fiber optic,Yes,No,No,Month-to-month,No,Electronic check,85.37,5107.83,Yes
